station,hour,avg_dropoff_count
"Albert Gate, Hyde Park",16,9.572784810126583
"Albert Gate, Hyde Park",17,8.864686468646864
"Albert Gate, Hyde Park",18,7.8125
"Albert Gate, Hyde Park",19,6.288065843621399
"Albert Gate, Hyde Park",20,5.292079207920792
"Albert Gate, Hyde Park",21,3.979020979020979
"Albert Gate, Hyde Park",22,2.2626262626262625
"Albert Gate, Hyde Park",23,1.8620689655172413
"Albert Square, Stockwell",0,1.3580246913580247
"Albert Square, Stockwell",1,1.2125
"Albert Square, Stockwell",2,1.2352941176470589
"Albert Square, Stockwell",3,1.1333333333333333
"Albert Square, Stockwell",4,1.0909090909090908
"Albert Square, Stockwell",5,1.0789473684210527
"Albert Square, Stockwell",6,1.0714285714285714
"Albert Square, Stockwell",7,1.2333333333333334
"Albert Square, Stockwell",8,1.7107843137254901
"Albert Square, Stockwell",9,1.5071090047393365
"Albert Square, Stockwell",10,1.4451219512195121
"Albert Square, Stockwell",11,1.6990740740740742
"Albert Square, Stockwell",12,1.9292035398230087
"Albert Square, Stockwell",13,1.9912280701754386
"Albert Square, Stockwell",14,1.947136563876652
"Albert Square, Stockwell",15,2.0823970037453186
"Albert Square, Stockwell",16,2.5759717314487633
"Albert Square, Stockwell",17,3.272425249169435
"Albert Square, Stockwell",18,4.179401993355482
"Albert Square, Stockwell",19,3.2525597269624575
"Albert Square, Stockwell",20,2.4015151515151514
"Albert Square, Stockwell",21,2.0697674418604652
"Albert Square, Stockwell",22,1.9901477832512315
"Albert Square, Stockwell",23,1.5798319327731092
"Albert Street, Camden Town",0,1.4285714285714286
"Albert Street, Camden Town",1,1.0
"Albert Street, Camden Town",2,1.0
"Albert Street, Camden Town",3,1.0
"Albert Street, Camden Town",5,2.0
"Albert Street, Camden Town",7,1.0
"Albert Street, Camden Town",8,1.2972972972972974
"Albert Street, Camden Town",9,1.2666666666666666
"Albert Street, Camden Town",10,1.4666666666666666
"Albert Street, Camden Town",11,1.75
"Albert Street, Camden Town",12,1.6666666666666667
"Albert Street, Camden Town",13,1.5
"Albert Street, Camden Town",14,1.5384615384615385
"Albert Street, Camden Town",15,1.935483870967742
"Albert Street, Camden Town",16,1.4848484848484849
"Albert Street, Camden Town",17,1.6956521739130435
"Albert Street, Camden Town",18,2.111111111111111
"Albert Street, Camden Town",19,1.5454545454545454
"Albert Street, Camden Town",20,1.4782608695652173
"Albert Street, Camden Town",21,1.380952380952381
"Albert Street, Camden Town",22,1.1538461538461537
"Albert Street, Camden Town",23,1.25
"Alderney Street, Pimlico",0,1.423529411764706
"Alderney Street, Pimlico",1,1.1272727272727272
"Alderney Street, Pimlico",2,1.2424242424242424
"Alderney Street, Pimlico",3,1.4
"Alderney Street, Pimlico",4,1.2380952380952381
"Alderney Street, Pimlico",5,1.125
"Alderney Street, Pimlico",6,1.0862068965517242
"Alderney Street, Pimlico",7,1.4758620689655173
"Alderney Street, Pimlico",8,2.0
"Alderney Street, Pimlico",9,1.8308457711442787
"Alderney Street, Pimlico",10,2.0118110236220472
"Alderney Street, Pimlico",11,2.1361867704280155
"Alderney Street, Pimlico",12,2.535971223021583
"Alderney Street, Pimlico",13,2.9405940594059405
"Alderney Street, Pimlico",14,2.798045602605863
"Alderney Street, Pimlico",15,2.482269503546099
