station,hour,pickup_count
"Aldersgate Street, Barbican",12,3.6666666666666665
"Aldersgate Street, Barbican",13,3.495145631067961
"Aldersgate Street, Barbican",14,3.1443298969072164
"Aldersgate Street, Barbican",15,3.24
"Aldersgate Street, Barbican",16,3.619047619047619
"Aldersgate Street, Barbican",17,2.752808988764045
"Aldersgate Street, Barbican",18,2.4878048780487805
"Aldersgate Street, Barbican",19,2.432098765432099
"Aldersgate Street, Barbican",20,1.9102564102564104
"Aldersgate Street, Barbican",21,1.878787878787879
"Aldersgate Street, Barbican",22,1.5714285714285714
"Aldersgate Street, Barbican",23,1.5961538461538463
"Alfreda Street, Battersea Park",0,1.3703703703703705
"Alfreda Street, Battersea Park",1,1.3225806451612903
"Alfreda Street, Battersea Park",2,1.2857142857142858
"Alfreda Street, Battersea Park",3,1.0
"Alfreda Street, Battersea Park",4,2.0
"Alfreda Street, Battersea Park",5,1.0
"Alfreda Street, Battersea Park",6,1.1111111111111112
"Alfreda Street, Battersea Park",7,1.3478260869565217
"Alfreda Street, Battersea Park",8,1.75
"Alfreda Street, Battersea Park",9,2.6
"Alfreda Street, Battersea Park",10,2.382978723404255
"Alfreda Street, Battersea Park",11,2.5977011494252875
"Alfreda Street, Battersea Park",12,2.7333333333333334
"Alfreda Street, Battersea Park",13,2.4069767441860463
"Alfreda Street, Battersea Park",14,2.4285714285714284
"Alfreda Street, Battersea Park",15,2.3493975903614457
"Alfreda Street, Battersea Park",16,2.3661971830985915
"Alfreda Street, Battersea Park",17,2.2531645569620253
"Alfreda Street, Battersea Park",18,2.5
"Alfreda Street, Battersea Park",19,2.0434782608695654
"Alfreda Street, Battersea Park",20,1.7142857142857142
"Alfreda Street, Battersea Park",21,1.71875
"Alfreda Street, Battersea Park",22,1.3928571428571428
"Alfreda Street, Battersea Park",23,1.3529411764705883
"All Saints Church, Portobello",0,1.75
"All Saints Church, Portobello",1,1.7254901960784315
"All Saints Church, Portobello",2,1.7407407407407407
"All Saints Church, Portobello",3,1.1333333333333333
"All Saints Church, Portobello",4,1.0
"All Saints Church, Portobello",5,1.0
"All Saints Church, Portobello",6,1.3333333333333333
"All Saints Church, Portobello",7,1.3478260869565217
"All Saints Church, Portobello",8,1.8088235294117647
"All Saints Church, Portobello",9,2.2790697674418605
"All Saints Church, Portobello",10,2.813953488372093
"All Saints Church, Portobello",11,3.1515151515151514
"All Saints Church, Portobello",12,4.16
"All Saints Church, Portobello",13,5.01010101010101
"All Saints Church, Portobello",14,4.904255319148936
"All Saints Church, Portobello",15,3.836734693877551
"All Saints Church, Portobello",16,4.11
"All Saints Church, Portobello",17,3.642105263157895
"All Saints Church, Portobello",18,2.604651162790698
"All Saints Church, Portobello",19,2.46875
"All Saints Church, Portobello",20,1.8181818181818181
"All Saints Church, Portobello",21,1.6808510638297873
"All Saints Church, Portobello",22,1.8541666666666667
"All Saints Church, Portobello",23,1.3333333333333333
"All Saints' Road, Portobello",0,1.1666666666666667
"All Saints' Road, Portobello",1,1.6
"All Saints' Road, Portobello",2,1.1111111111111112
"All Saints' Road, Portobello",3,1.0
"All Saints' Road, Portobello",4,1.0
"All Saints' Road, Portobello",5,1.0
"All Saints' Road, Portobello",6,1.0
"All Saints' Road, Portobello",7,1.1333333333333333
"All Saints' Road, Portobello",8,1.3783783783783783
"All Saints' Road, Portobello",9,1.5
"All Saints' Road, Portobello",10,1.640625
"All Saints' Road, Portobello",11,2.606060606060606
"All Saints' Road, Portobello",12,2.8378378378378377
"All Saints' Road, Portobello",13,2.904109589041096
"All Saints' Road, Portobello",14,2.77027027027027
"All Saints' Road, Portobello",15,2.8125
"All Saints' Road, Portobello",16,2.791044776119403
"All Saints' Road, Portobello",17,2.0392156862745097
