name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London, England, United Kingdom",2024-01-04T15:00:00,9,7.2,5.2,76.61,0.001,100,rain,0,0,10.3,7.4,119,999.2,97,5.2,7,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T16:00:00,8.3,6.7,6.3,87.25,0.803,100,rain,0,0,10.3,6.2,97,998.1,96.2,3.6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T17:00:00,8,5.3,6.3,89.06,2.993,100,rain,0,0,17.2,10.2,74,996.7,100,3.6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T18:00:00,7.8,4.8,6.6,92.14,0.054,100,rain,0,0,12.8,11.9,72,994.1,100,3.6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T19:00:00,7.8,4.5,7.1,95.33,4.973,100,rain,0,0,24.2,13.7,94,992.9,96.2,2.5,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T20:00:00,8.3,5.6,7.6,95.34,5.964,100,rain,0,0,23,10.7,323,992.1,100,7.7,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T21:00:00,8.6,6.1,8,96,6.204,100,rain,0,0,19.7,10.2,106,992,100,6.4,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T22:00:00,8.6,6.1,8.1,96.65,0.002,100,rain,0,0,10.3,9.9,330,991.9,97,6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T23:00:00,7.6,4.8,6.6,93.38,0.798,100,rain,0,0,12.8,10.3,303,991.9,100,6.2,0,0,0,,"Rain, Overcast",rain,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T00:00:00,6.8,3.3,5.6,92.05,0.399,100,rain,0,0,13.9,13.3,341,992.1,100,1.7,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T01:00:00,6,2.1,4.8,92.03,0.597,100,rain,0,0,23,14.3,328,993.2,100,3.1,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T02:00:00,5.8,1.4,4.3,90.11,0.001,100,rain,0,0,28.9,17.1,321,994.3,100,4.5,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T03:00:00,5.8,1.6,3.6,85.81,0.002,100,rain,0,0,27.7,15.8,314,995.8,97,5.8,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T04:00:00,5.5,1.8,3.9,88.85,0.002,100,rain,0,0,18.3,12.3,297,996.4,100,5.6,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T05:00:00,5.6,1.7,4.8,94.58,0.2,100,rain,0,0,23,13.5,298,997,93.1,5.8,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T06:00:00,6,2.2,4.6,90.75,0,0,,0,0,23,13.7,294,997.9,97,5.2,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T07:00:00,6.1,2.6,4.3,88.27,0,0,,0,0,20.8,11.8,294,998.5,93.1,5.8,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T08:00:00,6.1,2.7,4.1,87.05,0,0,,0,0,18.3,11.5,290,999.5,97,6.8,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T09:00:00,6,2.8,4.1,87.63,0.009,100,rain,0,0,17.2,10.3,290,1000.1,74.8,7.2,16,0.1,0,,"Rain, Partially cloudy",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T10:00:00,6.1,3,4.1,87.03,0,0,,0,0,17.2,10.3,294,1001.1,96.2,8.7,33,0.1,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T11:00:00,6.8,3.9,4.1,82.96,0,0,,0,0,15,10,301,1002.1,93.1,9.3,100,0.4,1,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T12:00:00,7.3,4.8,4.3,81.3,0,0,,0,0,13.9,8.8,301,1002.2,100,9.3,113,0.4,1,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T13:00:00,7.5,4.8,4.1,79.08,0,0,,0,0,16.1,10,301,1002.5,96.2,10.1,76,0.3,1,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T14:00:00,7.6,5,4.3,79.64,0,0,,0,0,13.9,9.6,307,1003,96.2,9.5,42,0.2,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T15:00:00,7.8,5.3,4.3,78.56,0,0,,0,0,15,9.3,317,1003.5,96.2,9.9,3,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T16:00:00,7.6,5.5,4.1,78.52,0,0,,0,0,12.8,7.3,310,1004.1,100,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-05T17:00:00,7.6,5.8,4.1,78.54,0,0,,0,0,9.2,6.2,310,1005.1,96.2,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
